LINK,sector,name,code
https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF,financetermlendinginstitutions,IDF,idfc
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/idfcfirstbank/IDF01,banksprivatesector,IDF01,idfcfirstbank
https://www.moneycontrol.com/india/stockpricequote/diversified/indianenergyexchange/IEE,diversified,IEE,indianenergyexchange
https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/ifbindustries/IFB02,consumergoodswhitegoods,IFB02,ifbindustries
https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ifci/IFC02,financetermlendinginstitutions,IFC02,ifci
https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04,oildrillingandexploration,IG04,indraprasthagas
https://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflfinance/II15,financegeneral,II15,iiflfinance
https://www.moneycontrol.com/india/stockpricequote/cementmajor/indiacements/IC,cementmajor,IC,indiacements
https://www.moneycontrol.com/india/stockpricequote/hotels/indiatourismdevelopmentcorporation/ITD02,hotels,ITD02,indiatourismdevelopmentcorporation
https://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01,financehousing,IHF01,indiabullshousingfinance
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/indiabullsintegratedservices/IWS,miscellaneous,IWS,indiabullsintegratedservices
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/indiabullsrealestate/IRE01,constructioncontractingrealestate,IRE01,indiabullsrealestate
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04,bankspublicsector,IB04,indianbank
https://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC,hotels,IHC,indianhotelscompany
https://www.moneycontrol.com/india/stockpricequote/financegeneral/indostarcapitalfinance/ICF,financegeneral,ICF,indostarcapitalfinance
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/indusindbank/IIB,banksprivatesector,IIB,indusindbank
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infibeamavenues/IIL03,miscellaneous,IIL03,infibeamavenues
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01,miscellaneous,IEI01,infoedgeindia
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT,computerssoftware,IT,infosys
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/inoxleisure/INO01,mediaentertainment,INO01,inoxleisure
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/inoxwind/IW,powergenerationdistribution,IW,inoxwind
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/intellectdesignarena/IDA,computerssoftware,IDA,intellectdesignarena
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04,transportlogistics,IA04,interglobeaviation
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianoverseasbank/IOB,bankspublicsector,IOB,indianoverseasbank
https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,refineries,IOC,indianoilcorporation
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL,pharmaceuticals,IL,ipcalaboratories
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/irbinfrastructuredevelopers/IID01,infrastructuregeneral,IID01,irbinfrastructuredevelopers
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/irconinternational/II07,engineeringheavy,II07,irconinternational
https://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC,cigarettes,ITC,itc
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/itdcementationindia/ITD03,constructioncontractingcivil,ITD03,itdcementationindia
https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/iti/ITI,telecommunicationsequipment,ITI,iti
https://www.moneycontrol.com/india/stockpricequote/cementmajor/jkcement/JKC03,cementmajor,JKC03,jkcement
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jagranprakashan/JP12,mediaentertainment,JP12,jagranprakashan
https://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08,steelgpgcsheets,JC08,jaicorp
https://www.moneycontrol.com/india/stockpricequote/plastics/jainirrigationsystems/JIS02,plastics,JIS02,jainirrigationsystems
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI,autoancillaries,JAI,jamnaautoindustries
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,pharmaceuticals,JBC01,jbchemicalspharmaceuticals
https://www.moneycontrol.com/india/stockpricequote/steellarge/jindalstainlesshisar/JSH,steellarge,JSH,jindalstainlesshisar
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/jindalsaw/JS08,steeltubespipes,JS08,jindalsaw
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/jindalstainless/JSL01,steelmediumsmall,JSL01,jindalstainless
https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/jindalsteelpower/JSP,steelspongeiron,JSP,jindalsteelpower
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/jammukashmirbank/JKB,banksprivatesector,JKB,jammukashmirbank
https://www.moneycontrol.com/india/stockpricequote/cementmajor/jklakshmicement/JKL01,cementmajor,JKL01,jklakshmicement
https://www.moneycontrol.com/india/stockpricequote/paper/jkpaper/JKP01,paper,JKP01,jkpaper
https://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01,tyres,JKT01,jktyreindustries
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jmfinancial/JMF,financeinvestments,JMF,jmfinancial
https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL,consumergoodswhitegoods,HHL,johnsoncontrolshitachiairconditioningindia
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/jswenergy/JE01,powergenerationdistribution,JE01,jswenergy
https://www.moneycontrol.com/india/stockpricequote/steellarge/jswsteel/JSW01,steellarge,JSW01,jswsteel
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jtektindia/SKS04,autoancillaries,SKS04,jtektindia
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04,miscellaneous,JF04,jubilantfoodworks
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jubilantlifesciences/JO03,pharmaceuticals,JO03,jubilantlifesciences
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/justdial/JD,miscellaneous,JD,justdial
https://www.moneycontrol.com/india/stockpricequote/personalcare/jyothylabs/JL,personalcare,JL,jyothylabs
https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06,ceramicsgranite,KC06,kajariaceramics
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kalpatarupowertransmission/KPT,powertransmissionequipment,KPT,kalpatarupowertransmission
https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,paintsvarnishes,KNP,kansainerolacpaints
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,banksprivatesector,KB04,karnatakabank
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kecinternational/KEC04,powertransmissionequipment,KEC04,kecinternational
https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/keiindustries/KEI,cablespowerothers,KEI,keiindustries
